Audio,Texto
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/6nzuEHkjp37_22050_160_0.wav,Observa que todos esos cambios tienen su origen en el entorno en el que vivimos es importante que ahora hagas un análisis del entorno en el que localmente operas ya sea una tienda Club o centro de distribución Debes entender como tu entorno político laboral social y económico puede impactar en tus labores diarias en Walmart Haz clic en los iconos para ver algunos ejemplos de cuestiones a plantearse cuando analizas el entorno de la zona dónde te encuentras
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/5XJpNjgEyNU_22050_160_0.wav,solicitar aclaración o comprobante documental del cumplimiento de las obligaciones patronales
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/6jsT3jRnx1J_22050_160_0.wav,se le pueden otorgar amplias facultades y poder jurídico para intervenir en los procedimientos y requerimientos de interés profesional y colectivo
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/62bJOQkV33o_22050_160_0.wav,en primer lugar el que ya conoces la aplicación del convenio 98 de la organización Internacional del trabajo para introducir en nuestra legislación la libertad de asociación sindical y la de contratación colectiva
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/video_5kuu9II1KUI_21_160_1102x620_1.wav,los derechos y obligaciones en la relación diaria de las y los jefes hacia sus asociadas o asociados representantes sindicales y autoridades laborales son asignar y supervisar las actividades a desempeñar según el puesto de cada asociado o asociada atender a las necesidades de sus asociados o asociadas determinar los turnos y día de descanso otorgar las herramientas de trabajo capacitación y adiestramiento garantizar las condiciones de trabajo facilitar las condiciones para el desarrollo de las funciones de las y los integrantes de las diversas comisiones mixtas aplicar el reglamento de trabajo garantizar el cumplimiento del contrato colectivo de trabajo atender a las y los representantes sindicales y autoridades laborales informar de manera inmediata de cualquier situación que sobrepase su nivel de decisión
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/641Qqk2cJCt_22050_160_0.wav,el conocimiento del reglamento interior de trabajo y contrato colectivo de trabajo
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/6SGKaDcBpOQ_22050_160_0.wav,estos contratos colectivos deberán revisarse al menos una vez cada 4 años
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/6fzhQy50cIU_22050_160_0.wav,sabes que con la reforma laboral el Gobierno Federal logró cumplir con tres grandes objetivos uno de ellos ya lo conoces Haz clic en cada uno de los picos de las montañas para descubrirlos todos
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/video_6K4u8mb2wFO_21_160_1102x620_1.wav,hemos concluido los cuatro módulos por último es importante que identifiques los artículos e incisos de la Ley Federal del Trabajo que debes consultar y posteriormente realice la evaluación para obtener tu certificación el artículo 153 dela Ley Federal del Trabajo en su inciso a trata acerca de la comisión mixta de capacitación y adiestramiento los incisos f g h i l s son sobre los planes y programas de capacitación y adiestramiento los incisos t&v regulan la constancia de habilidades y de los incisos y al l tratan del incremento de la productividad en cuanto las compensaciones fijas y variables puedes consultar los siguientes artículos del 82 al 89 sobre el salario del 90 al 97 sobre el salario mínimo del 98 al 116 sobre las normas protectoras y privilegios los del salario referente a las prestaciones y beneficios deberás leer los artículos del 76 al 81 sobre las vacaciones el artículo 87 trata sobre el aguinaldo el artículo 71 sobre la prima dominical y los artículos 117 al 131 sobre participación de utilidades además de revisar la ley del IMSS sobre la seguridad social las salidas por despidos reajustes jubilaciones están reguladas en los artículos del 46 al 52 los artículos del 53 al 55 regulan la terminación de las relaciones de trabajo el artículo 162 trata la prima por antigüedad y del 433 al 439 la reducción de plazas por automatización eliminación de procesos de trabajo y cierre total y sobre la seguridad industrial y patrimonial puedes consultar los artículos del 172 al 522 acerca de los riesgos de trabajo y el artículo 509 sobre la comisión mixta de seguridad e higiene Listo ya cuentas con nuevos conocimientos fundamentales en tu día a día Ahora es momento de que completes tu certificación en relaciones laborales responde correctamente a los siguientes 20 reactivos deberás a probar con un mínimo de 80% mucho éxito
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/video_6W1PZ3q1t4D_21_160_1102x620_1.wav,vida sindical activa
